Time           Event Type     Request ID     Core ID   Service Time   Remaining Time 
2671.45        Departure      13             1         160.072        0              
2672.07        Departure      16             0         159.947        0              
2744.3         Departure      18             2         160.68         0              
2744.49        Departure      19             3         159.779        0              
2747.61        Departure      17             1         161.159        0              
2747.99        Departure      20             0         160.925        0              
2819.92        Departure      23             3         160.431        0              
2820.72        Departure      22             2         161.417        0              
2821.59        Departure      21             1         158.984        0              
2822.46        Departure      24             0         159.469        0              
2893.52        Departure      27             3         158.607        0              
2896.08        Departure      28             0         158.622        0              
2896.36        Departure      26             2         160.644        0              
2896.7         Departure      25             1         160.114        0              
2967.91        Departure      31             3         159.381        0              
2970.87        Departure      30             2         159.501        0              
2971.81        Departure      32             0         160.728        0              
2972.3         Departure      29             1         160.598        0              
3041.85        Departure      35             3         158.949        0              
3046.13        Departure      34             2         160.261        0              
3046.44        Departure      36             0         159.625        0              
3047.21        Departure      33             1         159.912        0              
3117.93        Departure      39             3         161.072        0              
3121.36        Departure      38             2         160.236        0              
3121.69        Departure      40             0         160.249        0              
3121.7         Departure      37             1         159.485        0              
3192.1         Departure      43             3         159.169        0              
3195.14        Departure      41             1         158.44         0              
3196.43        Departure      42             2         160.062        0              
3196.55        Departure      44             0         159.865        0              
3267.88        Departure      47             3         160.784        0              
3269.46        Departure      45             1         159.321        0              
3271.85        Departure      46             2         160.42         0              
3272.37        Departure      48             0         160.817        0              
3343.29        Departure      49             1         158.831        0              
3343.65        Departure      51             3         160.768        0              
3345.98        Departure      50             2         159.136        0              
3346.91        Departure      52             0         159.543        0              
3418.06        Departure      55             3         159.416        0              
3419.73        Departure      53             1         161.437        0              
3420.87        Departure      54             2         159.885        0              
3424.69        Departure      56             0         162.778        0              
3493.49        Departure      59             3         160.427        0              
3494.9         Departure      57             1         160.172        0              
3496.56        Departure      58             2         160.695        0              
3500.4         Departure      60             0         160.71         0              
3568.27        Departure      63             3         159.775        0              
3568.7         Departure      61             1         158.805        0              
3572.28        Departure      62             2         160.719        0              
3574.56        Departure      64             0         159.162        0              
3642.17        Departure      67             3         158.902        0              
3642.65        Departure      65             1         158.95         0              
3648.01        Departure      66             2         160.728        0              
3648.92        Departure      68             0         159.36         0              
3717.11        Departure      71             3         159.948        0              
3718           Departure      69             1         160.34         0              
3723.02        Departure      72             0         159.099        0              
3723.39        Departure      70             2         160.383        0              
3791.28        Departure      75             3         159.161        0              
3792.32        Departure      73             1         159.328        0              
3796.92        Departure      76             0         158.899        0              
3798.67        Departure      74             2         160.282        0              
3864.72        Departure      79             3         158.442        0              
3867.93        Departure      77             1         160.608        0              
3871.87        Departure      80             0         159.956        0              
3873.49        Departure      78             2         159.817        0              
3938.92        Departure      83             3         159.198        0              
3943.39        Departure      81             1         160.459        0              
3945.76        Departure      84             0         158.883        0              
3946.64        Departure      82             2         158.146        0              
4014.67        Departure      87             3         160.75         0              
4019.05        Departure      85             1         160.662        0              
4020.44        Departure      88             0         159.681        0              
4023.16        Departure      86             2         161.527        0              
4089.02        Departure      91             3         159.355        0              
4094.02        Departure      89             1         159.969        0              
4096.99        Departure      92             0         161.554        0              
4099.02        Departure      90             2         160.859        0              
4163.48        Departure      95             3         159.464        0              
4168.84        Departure      93             1         159.817        0              
4172.93        Departure      96             0         160.943        0              
4173.81        Departure      94             2         159.792        0              
4238.18        Departure      99             3         159.691        0              
4244.09        Departure      97             1         160.255        0              
4247.04        Departure      100            0         159.104        0              
4249.48        Departure      98             2         160.661        0              
4333.18        Quantum_done   102            3         161.19         71.1903        
4339.09        Quantum_done   103            1         159.338        69.3381        
4342.04        Quantum_done   104            0         159.655        69.6554        
4344.48        Quantum_done   101            2         161.228        71.2283        
4428.18        Quantum_done   106            3         160.959        70.9593        
4434.09        Quantum_done   107            1         159.222        69.2221        
4437.04        Quantum_done   108            0         158.625        68.6246        
4439.48        Quantum_done   105            2         160.734        70.7336        
4523.18        Quantum_done   110            3         161.059        71.0595        
4529.09        Quantum_done   111            1         160.046        70.0462        
4532.04        Quantum_done   112            0         161.287        71.2873        
4534.48        Quantum_done   109            2         160.867        70.8674        
4618.18        Quantum_done   114            3         159.196        69.196         
4624.09        Quantum_done   115            1         160.938        70.9382        
4627.04        Quantum_done   116            0         161.341        71.3408        
4629.48        Quantum_done   113            2         158.314        68.3144        
4713.18        Quantum_done   118            3         159.087        69.0866        
4719.09        Quantum_done   119            1         159.383        69.3828        
4722.04        Quantum_done   120            0         160.076        70.0756        
4724.48        Quantum_done   117            2         160.517        70.5168        
4808.18        Quantum_done   121            3         160.026        70.0259        
4814.09        Quantum_done   123            1         161.167        71.1669        
4817.04        Quantum_done   124            0         161.331        71.3308        
4819.48        Quantum_done   122            2         159.486        69.4856        
4903.18        Quantum_done   125            3         159.515        69.5151        
4909.09        Quantum_done   128            1         160.084        70.0838        
4912.04        Quantum_done   126            0         159.89         69.8898        
4914.48        Quantum_done   127            2         160.11         70.1101        
4998.18        Quantum_done   129            3         159.821        69.8211        
5004.09        Quantum_done   132            1         160.422        70.422         
5007.04        Quantum_done   131            0         160.421        70.4215        
5009.48        Quantum_done   130            2         157.577        67.5766        
5093.18        Quantum_done   133            3         159.868        69.8677        
5099.09        Quantum_done   136            1         158.85         68.8495        
5102.04        Quantum_done   135            0         160.527        70.5274        
5104.48        Quantum_done   134            2         159.712        69.7124        
5188.18        Quantum_done   137            3         160.528        70.5279        
5194.09        Quantum_done   140            1         159.553        69.5526        
5197.04        Quantum_done   139            0         158.538        68.5383        
5199.48        Quantum_done   138            2         160.345        70.3453        
5283.18        Quantum_done   141            3         160.613        70.6134        
5289.09        Quantum_done   142            1         159.486        69.486         
5292.04        Quantum_done   144            0         159.859        69.8592        
5294.48        Quantum_done   143            2         160.246        70.2458        
5378.18        Quantum_done   145            3         159.984        69.9845        
5384.09        Quantum_done   146            1         159.888        69.8885        
5387.04        Quantum_done   148            0         160.452        70.4521        
5389.48        Quantum_done   147            2         161.326        71.3265        
5461.69        Departure      104            0         159.655        0              
